Model,Family,Split,MAE,RMSE,MAPE,OPE,R2
SeasonalNaive,Baseline,Test,66986.41321428571,87226.78541601812,13.95372382249987,-0.11029348530986269,0.9487399013473876
RandomForest,ML,Test,38715.734654761865,61180.01086602926,11.61797712043817,0.021993176127682326,0.9747826874081285
StatisticalFallback,Statistical,Test,66986.41321428571,87226.78541601812,13.95372382249987,-0.11029348530986269,0.9487399013473876
NeuralFallback-SeasonalNaive,Neural,Test,66986.41321428571,87226.78541601812,13.95372382249987,-0.11029348530986269,0.9487399013473876
