Model Name,Implementation,Split,MAE,RMSE,MAPE,OPE,R2
SeasonalNaive,custom/statsforecast,Val,36505.98345238095,54308.00487409357,10.05276542499158,-0.06655009095917573,0.9787584902709091
SeasonalNaive,custom/statsforecast,Test,66986.41321428571,87226.78541601812,13.95372382249987,-0.11029348530986269,0.9487399013473876
AutoARIMA,custom/statsforecast,Val,61132.861740412154,119543.56703450328,11.655365951812858,0.06872907682710325,0.897077552509454
AutoARIMA,custom/statsforecast,Test,41661.02576716488,59559.43271043421,9.356731297067366,-0.04079585758675362,0.9761009406652904
